#MPA, Kmeans, Cmeans
0.00350876,0.441276,0.441276
#MPA, Kmeans, Cmeans
0.00350876,0.443661,0.441276
#MPA, Kmeans, Cmeans
0.00350876,0.435099,0.408808
#MPA, Kmeans, Cmeans
0.00350876,0.441276,0.441276
#MPA, Kmeans, Cmeans
0.00350876,0.443661,0.411785
#MPA, Kmeans, Cmeans
0.00350876,0.106152,0.432541
#MPA, Kmeans, Cmeans
0.00350876,0.443661,0.369223
#MPA, Kmeans, Cmeans
0.00350876,0.440065,0.441276
#MPA, Kmeans, Cmeans
0.00350876,0.326685,0.433826
#MPA, Kmeans, Cmeans
0.00350876,0.442475,0.441276
